time,Tinlet,Flowrate,Heat_flux,Tmax,Tmax_prev
15359,24.654728,280.264594,22.06449367,47.856615,47.963763
15360,24.657754,280.888249,22.34156266,47.763739,47.856615
15361,24.664972,281.053502,22.20302817,47.664565,47.763739
15362,24.663852,280.041037,22.34156266,47.567387,47.664565
15363,24.665882,280.951441,22.11353888,47.472611,47.567387
15364,24.664636,281.111224,21.98513406,47.379366,47.472611
15365,24.669917,280.347802,22.34156266,47.271482,47.379366
15366,24.654227,280.114004,22.20302817,47.170398,47.271482
15367,24.666007,280.989728,22.34156266,47.078141,47.170398
15368,24.66308,281.668313,22.34156266,46.980507,47.078141
15369,24.658156,281.153003,22.11353888,46.891539,46.980507
15370,24.660688,280.45894,22.11353888,46.819149,46.891539
15371,24.667754,281.088648,22.34156266,46.722019,46.819149
15372,24.661947,280.927584,22.20302817,46.645289,46.722019
15373,24.657339,281.560433,22.11353888,46.551405,46.645289
15374,24.646231,281.363526,22.11353888,46.487569,46.551405
15375,24.652711,281.366785,22.20302817,46.391198,46.487569
15376,24.666963,280.350828,22.20302817,46.322582,46.391198
15377,24.652315,281.160102,22.20302817,46.246211,46.322582
15378,24.650503,280.21397,22.06449367,46.161377,46.246211
15379,24.661208,280.814234,22.1943124,46.097192,46.161377
15380,24.659283,279.571229,22.20302817,46.015407,46.097192
15381,24.650661,280.846354,21.99520261,45.936101,46.015407
15382,24.651425,281.404025,21.98513406,45.874828,45.936101
15383,24.643673,280.592656,22.48009716,45.794103,45.874828
15384,24.655605,280.879637,22.34156266,45.736536,45.794103
15385,24.643752,281.077359,22.11353888,45.659251,45.736536
15386,24.659059,280.731957,22.34156266,45.592085,45.659251
15387,24.651162,281.203277,21.9764183,45.535201,45.592085
15388,24.651966,280.851242,22.20302817,45.461721,45.535201
15389,24.652876,279.682484,22.34156266,45.396039,45.461721
15390,24.653258,281.104358,21.9764183,45.337535,45.396039
15391,24.648301,279.860538,22.20302817,45.2602,45.337535
15392,24.652968,280.575316,21.9764183,45.212918,45.2602
15393,24.64834,281.577075,22.20302817,45.151073,45.212918
15394,24.668064,281.36597,22.20302817,45.086178,45.151073
15395,24.648512,280.333488,22.20302817,45.018509,45.086178
15396,24.669541,281.055131,22.20302817,44.968707,45.018509
15397,24.657517,281.294748,22.20302817,44.907064,44.968707
15398,24.675691,280.451492,21.9764183,44.847205,44.907064
15399,24.662619,281.046054,21.9764183,44.785434,44.847205
15400,24.660477,281.370625,22.48009716,44.737564,44.785434
15401,24.658281,281.476876,22.34156266,44.680578,44.737564
15402,24.671611,281.657956,22.34156266,44.635663,44.680578
15403,24.666133,280.94795,22.0722917,44.576581,44.635663
15404,24.6684,280.928166,22.01128135,44.543005,44.576581
15405,24.662725,281.125655,21.9764183,44.479192,44.543005
